event_date,country,latitude,longitude,airport_code,aircraft_category,registration_number,make,model,amateur_built,number_of_engines,engine_type,purpose_of_flight,weather_condition,aircraft_damage
1/18/2009,United States,38.332223,-96.191111,EMP,Airplane,N2465H,CESSNA,172S,FALSE,1,Reciprocating,Personal,VMC,Substantial
11/14/2012,United States,38.035277,-84.605278,LEX,Airplane,N9985B,CESSNA,172RG,FALSE,1,Reciprocating,Instructional,VMC,Substantial
11/13/2012,United States,32.315556,-90.221389,HKS,Airplane,N717RL,PIPER,PA-32-300,FALSE,1,Reciprocating,Personal,VMC,Substantial
11/6/2012,United States,37.467778,-121.073611,MOD,Airplane,N21391,CESSNA,172M,FALSE,1,Reciprocating,Aerial Observation,VMC,Substantial
1/24/2003,United States,31.358333,-100.612778,TS65,Airplane,N944FE,Cessna,208B,FALSE,1,Turbo Prop,Instructional,VMC,Destroyed
1/4/2009,United States,40.635277,-79.113611,IDI,Airplane,N5212W,PIPER,PA-28-160,FALSE,1,Reciprocating,Personal,IMC,Substantial
12/30/2008,United States,37.332778,-121.819723,RHV,Glider,N8679,STEMME GMBH & CO,S-10,FALSE,1,Reciprocating,Personal,VMC,Substantial
12/30/2008,United States,40.591944,-75.005,N85,Airplane,N95156,PIPER,PA-28-140,FALSE,1,Reciprocating,Instructional,VMC,Substantial
12/28/2008,United States,27.905556,-80.517778,X59,Powered Parachute,N6068E,Buckeye,Dream Machine,FALSE,1,Reciprocating,Personal,VMC,Substantial
9/3/2003,United States,30.901667,-87.118611,FL96,Airplane,N52615,Cessna,172P,FALSE,1,Reciprocating,Public Aircraft,VMC,Substantial
8/31/2003,United States,35.877223,-86.3775,KMBT,Airplane,N3542K,Piper,PA-28-140,FALSE,1,Reciprocating,Instructional,VMC,Substantial
12/27/2008,United States,26.540555,-81.726667,RSW,Airplane,N7765N,BEECH,E18S,FALSE,2,Reciprocating,Business,VMC,Substantial
8/23/2003,United States,40.619445,-83.053333,MNN,Airplane,N258HB,Kucklick,Hiperbipe,TRUE,1,Reciprocating,Personal,VMC,Substantial
12/26/2008,United States,35.0175,-106.271389,1N1,Airplane,N1216X,MOONEY,M20C,FALSE,1,Reciprocating,Personal,IMC,Substantial
12/24/2008,United States,44.411667,-99.353056,PVT,Airplane,N89418,CESSNA,140,FALSE,1,Reciprocating,Personal,VMC,Substantial
12/22/2008,United States,34.421667,-103.074167,CVN,Airplane,N70LR,SOCATA,TBM 700,FALSE,1,Turbo Prop,Business,VMC,Substantial
9/27/2009,United States,36.271111,-115.695833,KVGT,Helicopter,N29LE,ROBINSON HELICOPTER COMPANY,R44 II,FALSE,1,Reciprocating,Personal,VMC,Destroyed
9/27/2009,United States,30.362778,-82.226111,FD27,Airplane,N7720W,PIPER,PA-28-180,FALSE,1,Reciprocating,Personal,VMC,Substantial
9/26/2009,United States,35.135,-118.439166,KTSP,Airplane,N7944L,BEECH,A23-19,FALSE,1,Reciprocating,Personal,VMC,Substantial
9/26/2009,United States,62.084166,-152.7175,6AK,Airplane,N754BD,SHORT BROS. & HARLAND,SC7 SERIES,FALSE,2,Turbo Prop,Other Work Use,VMC,Substantial
9/26/2009,United States,63.966667,-147.25,NA,Airplane,N5540A,PIPER,PA-20,FALSE,1,Reciprocating,Personal,VMC,Substantial
9/25/2009,United States,34.111389,-117.687222,KCCB,Airplane,N195MD,CESSNA,195A,FALSE,1,Reciprocating,Business,VMC,Substantial
9/24/2009,United States,42.543055,-83.177778,KVLL,Airplane,N4864S,PIPER,PA-32-260,FALSE,1,Reciprocating,Personal,VMC,Substantial
9/20/2009,United States,45.81,-123.178334,HIO,Helicopter,N956SH,ROBINSON HELICOPTER,R22 BETA,FALSE,1,Reciprocating,Instructional,VMC,Substantial
9/19/2009,United States,39.668056,-119.876389,RTS,Airplane,C-FDXO,CASSUTT,III M,TRUE,1,Reciprocating,Air Race/Show,VMC,Substantial
9/18/2009,United States,36.271111,-115.995,NV74,Airplane,N124LH,Lewis Jennings,NIEUPORT 11,TRUE,1,Reciprocating,Personal,VMC,Substantial
9/16/2009,United States,37.659722,-112.128889,HWD,Airplane,N726CB,Raytheon Aircraft Company,B200,FALSE,2,Turbo Prop,Business,VMC,Substantial
9/13/2009,United States,43.503611,-114.295277,SUN,Airplane,N81895,BEECH,V35,FALSE,1,Reciprocating,Personal,VMC,Substantial
9/13/2009,United States,36.766111,-80.823334,HLX,Airplane,N734TV,CESSNA,172N,FALSE,1,Reciprocating,Instructional,VMC,Substantial
9/12/2009,United States,46.900556,-95.073056,PKD,Airplane,N523ND,CESSNA,172S,FALSE,1,Reciprocating,Instructional,VMC,Substantial
9/8/2009,United States,39.498889,-118.748611,FLX,Airplane,N272D,BEECH,S35,FALSE,1,Reciprocating,Personal,VMC,Substantial
9/7/2009,United States,39.32,-120.139444,TRK,Airplane,N206ST,CESSNA,P206B,FALSE,1,Reciprocating,Personal,VMC,Substantial
9/3/2009,United States,33.803333,-118.339444,TOA,Helicopter,N8361X,ROBINSON HELICOPTER,R44,FALSE,1,Reciprocating,Personal,VMC,Substantial
9/3/2009,United States,29.360278,-95.009722,37TE,Airplane,N583AF,WRIGHT BRUCE M,AVID FLYER,TRUE,1,Reciprocating,Personal,VMC,Substantial
12/13/2008,United States,28.975556,-81.918611,2FD1,Airplane,N212DK,Kimball Enterprises Inc,Pitts Model-12,TRUE,1,Reciprocating,Personal,VMC,Substantial
9/1/2009,United States,39.725556,-108.138889,NONE,Airplane,N6686E,CESSNA,175,FALSE,1,Reciprocating,Business,VMC,Substantial
8/29/2009,United States,26.988333,-80.141666,LNA,Airplane,N7798R,UNDERLAND/GROTHE/FINSTROM,MMII (MUST,TRUE,1,Reciprocating,Instructional,VMC,Substantial
8/29/2009,United States,38.903889,-97.235833,K78,Airplane,N8312G,CESSNA,150F,FALSE,1,Reciprocating,Personal,VMC,Substantial
8/25/2009,United States,32.1275,-81.202222,SAV,Airplane,N47611,PIPER,PA-34,FALSE,2,Reciprocating,Instructional,VMC,Substantial
8/23/2009,United States,43.941389,-123.008056,77S,Airplane,N6353Z,PIPER,PA-25,FALSE,1,Reciprocating,Glider Tow,VMC,Substantial
8/22/2009,United States,40.8675,-96.11,NE69,Airplane,N1921X,CESSNA,182,FALSE,1,Reciprocating,Skydiving,VMC,Substantial
8/21/2009,United States,47.913333,-122.283333,PAE,Airplane,N116JM,MORGAN JAMES E,MORGAN RV6,TRUE,1,Reciprocating,Personal,VMC,Substantial
8/21/2009,United States,33.526945,-112.295277,GEU,Airplane,N424PA,PIPER,PA28,FALSE,1,Reciprocating,Instructional,VMC,Substantial
8/20/2009,United States,30.473611,-87.186389,PNS,Airplane,N64344,CESSNA,172P,FALSE,1,Reciprocating,Instructional,VMC,Substantial
12/7/2008,United States,27.803611,-80.515833,X26,Airplane,N757SM,MERRELL STEPHEN,F1 ROCKET,TRUE,1,Reciprocating,Personal,VMC,Substantial
8/17/2009,United States,43.0625,-94.423056,PVT,Airplane,N5003C,AIR TRACTOR INC,AT-502B,FALSE,1,Turbo Prop,Aerial Application,VMC,Substantial
8/12/2009,United States,41.204722,-74.621389,FWN,Airplane,N6676S,CESSNA,150,FALSE,1,Reciprocating,Personal,VMC,Substantial
8/12/2009,United States,44.829723,-93.448611,FCM,Airplane,N3038C,BEECH,E18S,FALSE,2,Reciprocating,Ferry,VMC,Substantial
8/12/2009,United States,62.318889,-150.089444,TKA,Airplane,N6687S,CESSNA,150H,FALSE,1,Reciprocating,Personal,VMC,Substantial
8/11/2009,United States,46.219723,-116.013611,S73,Airplane,N939RG,PIPER,PA-38-112,FALSE,1,Reciprocating,Personal,VMC,Substantial
12/6/2008,United States,32.819723,-97.3625,FTW,Airplane,N4920w,ROCKWELL INTERNATIONAL,114,FALSE,1,Reciprocating,Personal,VMC,Substantial
8/11/2009,United States,28.766667,-81.225,SFB,Airplane,N9261S,BEECH,BE-23,FALSE,1,Reciprocating,Personal,VMC,Substantial
8/9/2009,United States,41.3825,-119.169723,NV06,Airplane,N32105,PIPER,PA-28R-200,FALSE,1,Reciprocating,Personal,VMC,Substantial
8/9/2009,United States,40.471111,-81.419723,TSO,Airplane,N736UD,CESSNA,TR182,FALSE,1,Reciprocating,Personal,VMC,Substantial
8/8/2009,United States,30.501944,-88.275,2R5,Glider,N70ZZ,SCHEMPP-HIRTH,VENTUS 2CM,FALSE,1,Reciprocating,Personal,VMC,Substantial
8/4/2009,United States,30.274167,-81.803056,HEG,Helicopter,N186AE,EUROCOPTER,AS 350B3,FALSE,1,Turbo Jet,Public Aircraft - Federal,VMC,Substantial
8/3/2009,United States,30.924445,-97.356111,F50,Airplane,N1644R,GRUMMAN AMERICAN,AA-1B,FALSE,1,Reciprocating,Personal,VMC,Substantial
8/2/2009,United States,43.984444,-88.556944,OSH,Airplane,N413G,GALLAGHER,JUNIOR ACE,TRUE,1,Reciprocating,Instructional,VMC,Substantial
8/1/2009,United States,32.709167,-96.267223,TRL,Airplane,N8602C,PIPER,PA22,FALSE,1,Reciprocating,Personal,VMC,Substantial
7/31/2009,United States,29.622223,-95.656389,SGR,Airplane,N679SJ,RAYTHEON AIRCRAFT COMPANY,BE-400A,FALSE,2,Turbo Fan,Personal,VMC,Minor
7/29/2009,United States,28.732778,-81.078611,FD92,Airplane,N781PJ,QUICKSILVER,Sport 2S,FALSE,1,Reciprocating,Personal,VMC,Substantial
11/29/2008,United States,45.216389,-122.590277,4S9,Airplane,N825PB,Adkins,Ridge Runner II,TRUE,1,Reciprocating,Personal,VMC,Substantial
7/26/2009,United States,24.591666,-89.375,C37,Airplane,N257RV,FISHER,RV-7A,TRUE,1,Reciprocating,Personal,VMC,Substantial
7/25/2009,United States,33.152778,-116.906944,RNM,Airplane,N6140S,BROWN MICHAEL,KITFOX IV,TRUE,1,Reciprocating,Personal,VMC,Substantial
7/23/2009,United States,38.805556,-104.700556,KCOS,Airplane,N301RT,PIPER,PA32R,FALSE,1,Reciprocating,Personal,VMC,Substantial
7/18/2009,United States,29.671111,-95.068334,T41,Airplane,N62431,MARVIN FAULK,TINKER BELL,TRUE,1,Reciprocating,Personal,VMC,Substantial
7/18/2009,United States,29.954167,-98.787777,8XS9,Airplane,N2991D,BELLANCA,8KCAB,FALSE,1,Reciprocating,Personal,VMC,Substantial
7/17/2009,United States,34.333056,-92.761389,M78,Airplane,N33365,PIPER,PA28,FALSE,1,Reciprocating,Personal,VMC,Substantial
11/29/2008,United States,34.848611,-111.788611,SEZ,Airplane,N98774,CESSNA,172,FALSE,1,Reciprocating,Personal,VMC,Substantial
3/22/2013,United States,33.574167,-117.128611,F70,Airplane,N5931R,CESSNA,172G,FALSE,1,Reciprocating,Personal,VMC,Substantial
3/19/2013,United States,33.456389,-111.723611,FFZ,Airplane,N47964,BOEING,B75N1,FALSE,1,Reciprocating,Personal,VMC,Substantial
3/18/2013,United States,40.871945,-111.9275,BTF,Airplane,N670AK,Andre Kostrzewa,Mustang 2,TRUE,1,Reciprocating,Personal,VMC,Substantial
3/17/2013,United States,38.37,-77.43,RMN,Airplane,N32EV,NEW PIPER AIRCRAFT INC,PA32-301FT,FALSE,1,Reciprocating,Business,VMC,Substantial
3/10/2013,United States,37.332778,-121.803056,KRHV,Airplane,N811EV,EVEKTOR-AEROTECHNIK AS,SPORTSTAR,FALSE,1,Reciprocating,Personal,VMC,Substantial
3/8/2013,United States,61.668056,-148.27,PVT,Airplane,N86LN,NELSON LARRY L,WAG AERO 2+2,TRUE,1,Reciprocating,Personal,VMC,Substantial
11/28/2008,United States,39.182223,-89.821667,LL45,Airplane,N44LL,CESSNA,182,FALSE,1,Reciprocating,Personal,VMC,Substantial
2/21/2013,United States,44.313056,-74.031111,LKP,Airplane,N10FD,DOMBROSKI FRANK,VANS RV-10,TRUE,1,Reciprocating,Personal,IMC,Substantial
2/18/2013,United States,27.188333,-80.634166,None,Airplane,N6249D,CESSNA,172N,FALSE,1,Reciprocating,Personal,VMC,Substantial
2/16/2013,United States,41.423889,-88.418611,C09,Airplane,N93747,Bellanca,17-30A,FALSE,1,Reciprocating,Personal,VMC,Substantial
7/29/2009,United States,44.843889,-92.755833,SGS,Airplane,N989DM,CESSNA,A185F,FALSE,1,Reciprocating,Personal,VMC,Substantial
